Date,Bedtime,Wake Up Time,Amount of Sleep
2021.11.30,0:30,7:30,7h
2021.11.29,0:20,6:50,6h30m
2021.11.28,0:00,7:40,7h40m
2021.11.27,1:30,7:30,6h
2021.11.26,0:30,9:00,8h30m
2021.11.25,0:30,9:00,8h30m
2021.11.24,1:30,9:00,7h30m
2021.11.23,0:20,8:20,8h
2021.11.22,1:00,8:20,7h20m
2021.11.21,0:20,8:00,7h40m
2021.11.20,0:30,8:00,7h30m
2021.11.19,0:20,8:00,7h40m
2021.11.18,0:20,7:20,7h
2021.11.17,0:20,8:20,8h
2021.11.16,1:00,8:00,7h
2021.11.15,1:30,9:30,8h
2021.11.14,1:00,7:20,6h20m
2021.11.13,1:00,9:00,8h
2021.11.12,0:30,7:20,6h50m
2021.11.11,0:30,8:30,8h
2021.11.10,1:00,8:20,7h20m
2021.11.09,0:00,8:00,8h
2021.11.08,1:30,7:40,6h30m
2021.11.07,2:00,9:30,7h30m
2021.11.06,1:00,8:30,7h30m
2021.11.03,0:30,7:20,6h50m
